ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2014-12-01,0.71299614272,0.44360282859139316,1.3453001979385506,0.71299614272,0.71299614272,0.2587877476407292,0.2587877476407292,0.2587877476407292,0.2587877476407292,0.2587877476407292,0.2587877476407292,0.0,0.0,0.0,0.8975108085710367
2015-01-01,0.7254309072200169,0.4861942558143207,1.4060415899553171,0.7254309072200169,0.7254309072200169,0.2741432880819983,0.2741432880819983,0.2741432880819983,0.2741432880819983,0.2741432880819983,0.2741432880819983,0.0,0.0,0.0,0.9243029214016194
2015-02-01,0.7378656717200337,0.2110831908801243,1.1239161505612283,0.7378656717200337,0.7378656717200337,-0.04987210131393466,-0.04987210131393466,-0.04987210131393466,-0.04987210131393466,-0.04987210131393466,-0.04987210131393466,0.0,0.0,0.0,0.7010667601839377
2015-03-01,0.7490970720037077,0.33485408020534074,1.2896987925869285,0.7490970720037077,0.7490970720037077,0.0928759489708213,0.0928759489708213,0.0928759489708213,0.0928759489708213,0.0928759489708213,0.0928759489708213,0.0,0.0,0.0,0.8186701734373156
2015-04-01,0.7615318366034893,0.3724296405786493,1.2922503996757324,0.7615318366034893,0.7615318366034893,0.11302686919465588,0.11302686919465588,0.11302686919465588,0.11302686919465588,0.11302686919465588,0.11302686919465588,0.0,0.0,0.0,0.8476053958868379
2015-05-01,0.7735654797645685,0.4089000748512032,1.3295041948261357,0.7735654797645685,0.7735654797645685,0.1159886880184422,0.1159886880184422,0.1159886880184422,0.1159886880184422,0.1159886880184422,0.1159886880184422,0.0,0.0,0.0,0.8632903248588175
2015-06-01,0.7860002441101381,0.34855566041674785,1.2623148177849606,0.7860002441101381,0.7860002441101381,0.024644439196741974,0.024644439196741974,0.024644439196741974,0.024644439196741974,0.024644439196741974,0.024644439196741974,0.0,0.0,0.0,0.8053707793347348
2015-07-01,0.7980338870252053,0.45356015239072306,1.387954786742333,0.7980338870252053,0.7980338870252053,0.17393209062884812,0.17393209062884812,0.17393209062884812,0.17393209062884812,0.17393209062884812,0.17393209062884812,0.0,0.0,0.0,0.9368375893881653
2015-08-01,0.8104686513595835,0.5327351937613494,1.4531236034950301,0.8104686513595835,0.8104686513595835,0.24657078093927037,0.24657078093927037,0.24657078093927037,0.24657078093927037,0.24657078093927037,0.24657078093927037,0.0,0.0,0.0,1.0103065396521131
2015-09-01,0.8229034156939617,0.512614984251759,1.443156346316505,0.8229034156939617,0.8229034156939617,0.19518304718881907,0.19518304718881907,0.19518304718881907,0.19518304718881907,0.19518304718881907,0.19518304718881907,0.0,0.0,0.0,0.9835202119111968
2015-10-01,0.8349370585981988,0.6683800849217183,1.5937282367393997,0.8349370585981988,0.8349370585981988,0.343890384251875,0.343890384251875,0.343890384251875,0.343890384251875,0.343890384251875,0.343890384251875,0.0,0.0,0.0,1.1220638845056636
2015-11-01,0.8473718230106184,0.5993155435608384,1.4876929297454147,0.8473718230106184,0.8473718230106184,0.2410746082529296,0.2410746082529296,0.2410746082529296,0.2410746082529296,0.2410746082529296,0.2410746082529296,0.0,0.0,0.0,1.051651653287474
2015-12-01,0.8594054659903794,0.7188171707150901,1.6166678204434486,0.8594054659903794,0.8594054659903794,0.3450372063439797,0.3450372063439797,0.3450372063439797,0.3450372063439797,0.3450372063439797,0.3450372063439797,0.0,0.0,0.0,1.155932327092446
2016-01-01,0.8718402301642877,0.7114387257548942,1.628720672863084,0.8718402301642877,0.8718402301642877,0.35458796579365526,0.35458796579365526,0.35458796579365526,0.35458796579365526,0.35458796579365526,0.35458796579365526,0.0,0.0,0.0,1.1809842838753146
2016-02-01,0.8842749943381959,0.12128280138902131,1.064595851245336,0.8842749943381959,0.8842749943381959,-0.35126059258921905,-0.35126059258921905,-0.35126059258921905,-0.35126059258921905,-0.35126059258921905,-0.35126059258921905,0.0,0.0,0.0,0.5736640358151329
2016-03-01,0.8959075156621745,0.2598902241081372,1.190253163655678,0.8959075156621745,0.8959075156621745,-0.22631632036572746,-0.22631632036572746,-0.22631632036572746,-0.22631632036572746,-0.22631632036572746,-0.22631632036572746,0.0,0.0,0.0,0.6931490233295109
2016-04-01,0.9083422799095836,0.35835738622311314,1.2416929510848742,0.9083422799095836,0.9083422799095836,-0.12118254247698768,-0.12118254247698768,-0.12118254247698768,-0.12118254247698768,-0.12118254247698768,-0.12118254247698768,0.0,0.0,0.0,0.7982670529907967
2016-05-01,0.9203759227296571,0.40036838322263063,1.2929678708585515,0.9203759227296571,0.9203759227296571,-0.05009885664589264,-0.05009885664589264,-0.05009885664589264,-0.05009885664589264,-0.05009885664589264,-0.05009885664589264,0.0,0.0,0.0,0.8742661413164928
2016-06-01,0.93281068681258,0.5780327928018822,1.526379259691645,0.93281068681258,0.93281068681258,0.13959962964674588,0.13959962964674588,0.13959962964674588,0.13959962964674588,0.13959962964674588,0.13959962964674588,0.0,0.0,0.0,1.0630307132221428
2016-07-01,0.9448443294734734,0.7361035268372054,1.6501339791041163,0.9448443294734734,0.9448443294734734,0.257225327462026,0.257225327462026,0.257225327462026,0.257225327462026,0.257225327462026,0.257225327462026,0.0,0.0,0.0,1.1878822215229259
2016-08-01,0.9572790935563963,0.8370903277512163,1.7441312656290828,0.9572790935563963,0.9572790935563963,0.33173023433287785,0.33173023433287785,0.33173023433287785,0.33173023433287785,0.33173023433287785,0.33173023433287785,0.0,0.0,0.0,1.2748375115838246
2016-09-01,0.9697138593275444,0.8745253309443296,1.7845148917191993,0.9697138593275444,0.9697138593275444,0.3537144010471198,0.3537144010471198,0.3537144010471198,0.3537144010471198,0.3537144010471198,0.3537144010471198,0.0,0.0,0.0,1.3127156162666778
2016-10-01,0.9817475036222039,0.7356314424564933,1.6448090529305475,0.9817475036222039,0.9817475036222039,0.19278475679071372,0.19278475679071372,0.19278475679071372,0.19278475679071372,0.19278475679071372,0.19278475679071372,0.0,0.0,0.0,1.1710134573379007
2016-11-01,0.994195407785092,0.7654098077174221,1.6884317632854586,0.994195407785092,0.994195407785092,0.22204163469738636,0.22204163469738636,0.22204163469738636,0.22204163469738636,0.22204163469738636,0.22204163469738636,0.0,0.0,0.0,1.2149481813383285
2016-12-01,1.0062417666524033,0.6354606583935035,1.5808702220260393,1.0062417666524033,1.0062417666524033,0.08426658417516353,0.08426658417516353,0.08426658417516353,0.08426658417516353,0.08426658417516353,0.08426658417516353,0.0,0.0,0.0,1.0910343231825832
2017-01-01,1.0186896708152917,0.6350422808080392,1.5716320135889184,1.0186896708152917,1.0186896708152917,0.096643704562835,0.096643704562835,0.096643704562835,0.096643704562835,0.096643704562835,0.096643704562835,0.0,0.0,0.0,1.1171396144027763
2017-02-01,1.037941512609452,1.150720995987171,2.0524660159030668,1.037941512609452,1.037941512609452,0.5508101356816925,0.5508101356816925,0.5508101356816925,0.5508101356816925,0.5508101356816925,0.5508101356816925,0.0,0.0,0.0,1.6096502179995253
2017-03-01,1.0553302729396614,0.4521891228281777,1.3953070800997045,1.0553302729396614,1.0553302729396614,-0.12498697150938565,-0.12498697150938565,-0.12498697150938565,-0.12498697150938565,-0.12498697150938565,-0.12498697150938565,0.0,0.0,0.0,0.9234277381827598
2017-04-01,1.0746205742692183,0.5636880771833177,1.4863182538561475,1.0746205742692183,1.0746205742692183,-0.04367410556469298,-0.04367410556469298,-0.04367410556469298,-0.04367410556469298,-0.04367410556469298,-0.04367410556469298,0.0,0.0,0.0,1.0276874818665935
2017-05-01,1.093288607813951,0.6400496619356065,1.5411997243868865,1.093288607813951,1.093288607813951,0.007319634748135684,0.007319634748135684,0.007319634748135684,0.007319634748135684,0.007319634748135684,0.007319634748135684,0.0,0.0,0.0,1.1012910810974468
2017-06-01,1.1125789091435079,0.8128884010593569,1.7091005504234198,1.1125789091435079,1.1125789091435079,0.10328084282599082,0.10328084282599082,0.10328084282599082,0.10328084282599082,0.10328084282599082,0.10328084282599082,0.0,0.0,0.0,1.2274869965902708
2017-07-01,1.1612998075104817,0.9504871603249523,1.8946590946373703,1.1612998075104817,1.1612998075104817,0.22996483845398252,0.22996483845398252,0.22996483845398252,0.22996483845398252,0.22996483845398252,0.22996483845398252,0.0,0.0,0.0,1.4283579301412705
2017-08-01,1.2116447358230207,1.1282547078792653,2.0346970282510046,1.2116447358230207,1.2116447358230207,0.30334949964931623,0.30334949964931623,0.30334949964931623,0.30334949964931623,0.30334949964931623,0.30334949964931623,0.0,0.0,0.0,1.5791965601876619
2017-09-01,1.2620158685022653,1.1707248629464106,2.1073510047263775,1.2620158685022653,1.2620158685022653,0.2993405218054941,0.2993405218054941,0.2993405218054941,0.2993405218054941,0.2993405218054941,0.2993405218054941,0.0,0.0,0.0,1.6397883571065472
2017-10-01,1.310762125933792,1.1638736850892393,2.0798053112011083,1.310762125933792,1.310762125933792,0.24161196199672208,0.24161196199672208,0.24161196199672208,0.24161196199672208,0.24161196199672208,0.24161196199672208,0.0,0.0,0.0,1.62745793489165
2017-11-01,1.3611332586130367,1.1893753129807512,2.150173602154908,1.3611332586130367,1.3611332586130367,0.2275677673867076,0.2275677673867076,0.2275677673867076,0.2275677673867076,0.2275677673867076,0.2275677673867076,0.0,0.0,0.0,1.6708833153913996
2017-12-01,1.4098795182961328,1.1914387605965124,2.08158791505365,1.4098795182961328,1.4098795182961328,0.17182229515337388,0.17182229515337388,0.17182229515337388,0.17182229515337388,0.17182229515337388,0.17182229515337388,0.0,0.0,0.0,1.6521282530195076
