ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2014-11-01,1.5099138786300002,1.3761883303444085,1.575217012953124,1.5099138786300002,1.5099138786300002,-0.024476951797266278,-0.024476951797266278,-0.024476951797266278,-0.024476951797266278,-0.024476951797266278,-0.024476951797266278,0.0,0.0,0.0,1.4729557894047502
2014-12-01,1.4768829814365725,1.3044489342143155,1.4839548187657174,1.4768829814365725,1.4768829814365725,-0.05411087707413742,-0.05411087707413742,-0.05411087707413742,-0.05411087707413742,-0.05411087707413742,-0.05411087707413742,0.0,0.0,0.0,1.3969675479751726
2015-01-01,1.4427510543366973,1.2671489870956414,1.440574792228719,1.4427510543366973,1.4427510543366973,-0.06063299541668937,-0.06063299541668937,-0.06063299541668937,-0.06063299541668937,-0.06063299541668937,-0.06063299541668937,0.0,0.0,0.0,1.3552727362716765
2015-02-01,1.408619127236822,1.2565632799349913,1.439845798922159,1.408619127236822,1.408619127236822,-0.04081545802146555,-0.04081545802146555,-0.04081545802146555,-0.04081545802146555,-0.04081545802146555,-0.04081545802146555,0.0,0.0,0.0,1.3511256923808541
2015-03-01,1.3777902897296683,1.3829107149694344,1.5669644340088675,1.3777902897296683,1.3777902897296683,0.06824109008623713,0.06824109008623713,0.06824109008623713,0.06824109008623713,0.06824109008623713,0.06824109008623713,0.0,0.0,0.0,1.4718122010110535
2015-04-01,1.3436583624896057,1.163971896339333,1.3454364880111096,1.3436583624896057,1.3436583624896057,-0.06762802044517496,-0.06762802044517496,-0.06762802044517496,-0.06762802044517496,-0.06762802044517496,-0.06762802044517496,0.0,0.0,0.0,1.2527894072798285
2015-05-01,1.3106274654248764,1.1821012931227657,1.368500751527622,1.3106274654248764,1.3106274654248764,-0.02538457013838835,-0.02538457013838835,-0.02538457013838835,-0.02538457013838835,-0.02538457013838835,-0.02538457013838835,0.0,0.0,0.0,1.2773577506035005
2015-06-01,1.2764955384579895,1.1871945173120177,1.3722403201095397,1.2764955384579895,1.2764955384579895,0.0028212153606699264,0.0028212153606699264,0.0028212153606699264,0.0028212153606699264,0.0028212153606699264,0.0028212153606699264,0.0,0.0,0.0,1.2800968072789138
2015-07-01,1.2434646413932597,1.548472239444618,1.7362426567504632,1.2434646413932597,1.2434646413932597,0.32286591491677347,0.32286591491677347,0.32286591491677347,0.32286591491677347,0.32286591491677347,0.32286591491677347,0.0,0.0,0.0,1.6449369905033522
2015-08-01,1.209332714785988,1.2349332735065,1.4213330176864698,1.209332714785988,1.209332714785988,0.10347677710533754,0.10347677710533754,0.10347677710533754,0.10347677710533754,0.10347677710533754,0.10347677710533754,0.0,0.0,0.0,1.3344705665600904
